,training,0,10,20,30,40
0,13.64964705882353,18.817777777777778,27.70444444444444,29.835555555555555,29.915555555555557,29.502222222222223
1,32.953490196078434,24.64222222222222,41.18,46.13777777777778,46.55111111111111,46.34666666666667
2,44.74125490196079,27.126666666666665,48.66888888888889,55.52666666666667,56.13111111111111,55.96
3,51.9643137254902,29.66888888888889,53.071111111111115,60.64666666666667,61.648888888888884,61.211111111111116
4,56.25866666666667,30.92888888888889,56.02222222222222,65.37111111111112,66.80666666666667,67.0111111111111
5,59.24337254901961,32.04222222222222,60.94444444444444,72.72,74.59333333333333,74.72444444444444
6,61.09749019607843,31.60222222222222,60.668888888888894,73.79555555555555,75.2911111111111,75.23111111111112
7,62.62964705882354,32.72666666666667,60.42444444444445,71.65777777777778,73.03111111111112,73.37555555555556
8,63.8355294117647,32.413333333333334,62.61111111111111,76.02,77.72222222222223,78.19555555555556
9,64.75082352941176,32.91777777777778,62.55777777777778,74.15555555555555,75.52666666666667,75.4
10,65.73043137254902,33.70666666666667,65.49333333333334,78.91111111111111,81.05333333333333,81.04666666666667
11,66.33121568627452,34.011111111111106,63.65333333333333,75.27111111111111,76.89333333333333,76.98444444444445
12,66.92298039215686,33.282222222222224,62.45111111111111,74.99333333333334,77.08,77.29777777777778
13,67.2486274509804,34.17111111111112,65.54444444444445,80.61333333333334,82.91777777777779,83.33555555555556
14,67.8838431372549,34.431111111111115,66.18666666666667,80.47111111111111,82.55777777777777,83.1888888888889
15,68.28933333333333,34.824444444444445,66.08444444444444,81.11111111111111,83.80222222222223,83.71777777777778
16,68.46447058823529,35.160000000000004,67.09333333333333,82.15333333333334,84.97777777777777,85.47111111111111
17,68.93788235294117,33.87777777777778,65.79333333333334,80.68888888888888,83.42222222222222,83.67333333333333
18,69.13231372549019,33.544444444444444,62.315555555555555,74.51333333333334,76.43555555555555,76.74
19,69.40274509803922,34.00888888888889,64.62,78.38666666666667,80.90222222222222,81.19777777777777
20,69.584,34.166666666666664,65.46888888888888,77.90222222222222,79.64888888888889,79.97777777777777
